Index,Job Title,Job Description
0,Data Analyst (Freelance),"About the job
As a Data Analyst (Assessor), you will play a critical role in improving the quality and reliability of data used to train and refine AI models. You’ll work as a freelance contributor, reviewing, annotating, and validating diverse datasets—such as text, images, and other types of content—according to predefined guidelines and quality standards.



Key Responsibilities:

Data Annotation & Labeling: Carefully review and categorize data points (e.g., text segments, images, audio) following detailed instructions.
Quality Assurance: Identify errors, inconsistencies, or inaccuracies in datasets and ensure that final outputs meet the required standards.
Compliance with Guidelines: Apply the project’s specific rules, labeling criteria, and stylistic requirements to maintain a high level of data integrity.
Efficient Task Execution: Complete assigned tasks promptly and consistently meet productivity and quality benchmarks.
Continuous Improvement: Adapt to updated guidelines, feedback, and new requirements, continuously enhancing the accuracy and relevance of your work.


Qualifications:

Attention to Detail: Strong observational skills and the ability to adhere to strict data evaluation criteria.
Analytical Thinking: Capability to interpret guidelines, recognize patterns, and detect nuances in complex data.
Language Proficiency: Good command of English to understand instructions, communicate effectively, and handle language-based data tasks.
Technical Savvy: Comfortable working with online platforms, tools, or software systems used for data annotation and assessment.
Time Management: Ability to work independently, prioritize tasks, and meet deadlines in a flexible, freelance environment.


Benefits:

Flexible Work Environment: As a freelance Data Assessor, you have the freedom to work remotely and set your own schedule.
Skill Development: Enhance your analytical, linguistic, and technical skills by working on a wide variety of data projects.
Growth Opportunities: Potential for ongoing work as you demonstrate quality output, responsiveness to feedback, and adaptability to evolving project needs.


This role is ideal for individuals who enjoy detail-oriented tasks, have a strong sense of responsibility for data quality, and appreciate the opportunity to contribute to cutting-edge AI technologies."
1,Senior Software Engineer - Golang (EMEA),"Senior Software Engineer - Golang (EMEA)
Up to $3000/month 
Remote
Full-time
About the job
Company Overview

Kemet Trading provides institutional-grade infrastructure for digital asset trading; optimizing access to liquidity, data, trade execution, and post-trade workflows. Kemet is backed by some of the biggest names in digital asset trading and VCs.



Role Overview

Kemet is looking for a highly technical and product-minded backend senior software engineer to help the team continue building our crypto trading platform. You will work with software engineers, leadership, product managers, and other engineering team members to design and implement backend services as well as cloud infrastructure changes and CI/CD pipelines. You must have a passion for designing and building distributed low-latency highly scalable complex software and writing production-quality code.



Essential Job Functions

Design complex low-latency, and highly scalable distributed trading systems with an emphasis on performance, security, and reliability.
Writing backend microservices in Golang.
Writing unit and integration tests
Performing code reviews, design reviews, and writing documentation.
Containerize their code and deploy containers to Kemet’s production and non-production environments using CI/CD pipelines.
Help manage Kemet’s cloud infrastructure on AWS, and run operations including but not limited to logging, tracing, alarms, monitoring, and fixing production issues (you build it you own it).
Mentor engineers on coding and design best practices, and advise leadership on technical strategy and work prioritization. 


Minimum Qualifications

6 years of experience in software design, development, and operations.
Experience in writing production-quality backend services in Go(Golang) is a MUST
Experience designing and building low-latency large-scale complex distributed systems. 
Expert knowledge of SQL and NoSQL databases (MongoDB, DynamoDB, PostgreSQL, etc)
Expert knowledge in designing and building customer-facing APIs(REST, WebSockets, gRPC) using Go.
Experience working on an Agile team, writing clean code, and utilizing pair programming, unit testing, continuous integration, and code reviews.
Solid understanding of computer science fundamentals of problem-solving, data structures and algorithms, and complexity analysis.


Nice to have

Prior experience in building trading systems is highly desirable. 
BS degree in Information Systems, Computer Science, or a related technical discipline, or equivalent practical experience.
Experience in CI/CD (Git, Gitlab, Containers), and knowledge in other DevOps practices is desirable (IaC, Terraform, Cloud Formation).
Experience in front-end development and building single-page apps using a modern JavaScript framework (we use React) is highly desirable.
Experience with AWS, Kubernetes, and cloud-native technologies.
Experience in Datadog, Jira, GitLab, Copilot.


Benefits

Competitive Compensation Package
Remote work and flexible hours


Location - EMEA"
2,Presales Manager (MENA),"Presales Manager (MENA)

Remote
Full-time

About the job
Yango Tech is a global tech company that provides proprietary technologies and expertise for retailers and E/Q-Commerce. We offer a universal set of tools that help traditional retailers and marketplaces transition from brick-and-mortar business models to online trade successes. Our tech stack includes various solutions for fulfillment and delivery processes, commerce, client experience and analytics.



We’re building a platform for customers who want to grow their own e-commerce business. Yango Tech services streamline warehouse and logistics processes, helping businesses in different countries launch online services delivering goods from dark stores or retail outlets in 15 minutes.



We’re looking for a Presales Manager to help sell and grow our product for Yango Tech’s international B2B partners.*



You will be responsible for:

Joining client meetings as a tech and functional expert;
Identifying customer needs during the sales process and customizing an offer around them;
Giving sales presentations and demonstrating what our solutions can do for customers during the presale process;
Analyzing the competition in our markets;
Working with the sales and marketing teams to develop a go-to-market strategy;
Consolidating feedback from customers and passing it on to the product team (relevant business problems, demand for different product scenarios, pathways for improving the customer experience);
Interacting with the product development team to help develop and prioritize new functionality for the product;
Participating in events like exhibits, conferences, and webinars.


You might be a fit if you have:

Familiarity with the B2B sales cycle, methods for product positioning, and different sales scenarios;
Experience in presales for technically complex products sold to mid-sized and enterprise clients;
Ability to speak with customers about business needs as well as the technical details of how to meet them;
Experience giving presentations and speaking in public;
Fluency in English;
Experience working with retail, q-commerce, e-grocery, and similar companies;
Ability to travel for business;
Experience working with e-commerce platforms, warehouse and logistics products, and cloud solutions (preferred).


*The terms of cooperation with companies of the Yango group or its partners may vary from those indicated on the website; please check with the recruiter for details."
3,Wealth Management Consultant,"Wealth Management Consultant
Qesm El Maadi, Cairo, Egypt 

About the job


At Intelliverse, we provide transformative solutions that combine AI-powered services with personalized experiences to bring customers closer to brands. Our services focus on Customer Experience, Business Services & Advisory, and Financial Outsourced Services, all driven by adaptability, creativity, and inclusion.



Role Description

This is a hybrid, part-time / contract-based opportunity in Cairo, Egypt for a Wealth Management Consultant at Intelliverse. 



Responsibilities:

Client Acquisition: Actively prospect and generate new leads through various channels, including networking, referrals, online marketing, and industry events.
Needs Analysis: Conduct thorough needs assessments to understand clients' financial goals, risk tolerance, and investment preferences.
Platform Presentation: Demonstrate the features and benefits of our trading platform, highlighting its capabilities in Stocks, FX, and Crypto trading.
Portfolio Development: Assist clients in developing personalized investment portfolios aligned with their financial objectives.
Onboarding & Training: Provide comprehensive onboarding and training to new clients on how to effectively utilize the platform and manage their investments.
Relationship Management: Build and maintain strong, long-term relationships with clients, providing ongoing support and guidance.
Market Knowledge: Stay up-to-date on market trends, news, and regulations related to Stocks, FX, and Crypto.
Sales Targets: Achieve and exceed monthly and quarterly sales targets.
CRM Management: Maintain accurate and up-to-date records of client interactions and sales activities in the CRM system.
Compliance: Adhere to all regulatory requirements and compliance guidelines.


Qualifications: 

Bachelor's degree in Finance, Business, or a related field preferred.
Proven track record of success in sales, preferably in the financial services industry. 
Strong understanding of financial markets, including Stocks, FX, and Crypto. 
Excellent communication, presentation, and interpersonal skills.
Ability to build and maintain strong client relationships.
Self-motivated, results-oriented, and highly organized.
Strong analytical and problem-solving skills."
4,Junior Cloud Field Engineer - Worldwide,"Junior Cloud Field Engineer - Worldwide
Remote
Full-time

About the job
Help global companies embrace the latest private cloud infrastructure, Linux and cloud native operations, and open source applications. Our team applies expert insights to real-world customer problems, enabling the enterprise adoption of Linux Ubuntu, OpenStack, Kubernetes and a wide range of associated technology.

This role has very diverse responsibilities. The team members are Linux and cloud solutions architects for our customers, designing private and public cloud solutions fitting their workload needs. They are the cloud consultants who work hands-on with the technologies by deploying, testing and handing over the solution to our support or managed services team at the end of a project. They are also software engineers who use Python to develop Kubernetes operators and Linux open source infrastructure-as-code.

The people who love this role are developers who like to solve customer problems through architecture, presentations and training.

Location: This role will be home based.

What your day will look like

Work across the entire Linux stack, from kernel, networking, storage, to applications
Work in Python to design and deliver open source code
Architect cloud infrastructure solutions like OpenStack, Kubernetes, Ceph, Hadoop and Spark either On-Premises or in Public Cloud (AWS, Azure, Google Cloud)
Coach and develop your colleagues where you have insights
Grow a healthy, collaborative engineering culture in line with the company values
Work from the comfort of your home
Global travel up to 25% of time for internal and external events

What we are looking for in you

University degree in Computer Science or related software engineering expertise
You have sound knowledge of cloud computing concepts & technologies, such as Kubernetes, OpenStack, AWS, GCP, Azure, Ceph, etc.
You have practical knowledge of Linux and networking
You have Intermediate to Advanced level of Python programming skills
You are a dynamic person who loves to jump in new projects and interact with people
You have a demonstrated drive for continual learning
Excellent communication and presentation skills (English)
You have great organisational skills and follow-up reliably on commitments
(Optional) You speak a second language

What you'll learn

OpenStack and Kubernetes infrastructure
Linux Ubuntu and networking knowledge
Wide range of open source applications and skills
Work directly with customers in a range of different businesses 
Real-life and hands-on exposure to a wide range of emerging technologies and tools 

What we offer you

We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven quarterly bonus. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally.

Distributed work environment with twice-yearly team sprints in person - we've been working remotely since 2004!
Personal learning and development budget of USD 2,000 per year
Annual compensation review
Recognition rewards
Annual holiday leave
Maternity and paternity leave
Employee Assistance Programme
Opportunity to travel to new locations to meet colleagues from your team and others
Priority Pass for travel and travel upgrades for long haul company events

About Canonical

Canonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.

Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.

Canonical is an equal opportunity employer

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration."
5,Truck Driver (No Experience),"Truck Driver (No Experience)
Ridgecrest, CA
(CDL IS NOT REQUIRED TO APPLY!)

Attention all applicants,

Effective Robertson’s has increased all drivers wages, and reduced the cost of medical & dental benefits.

Robertson’s is seeking highly motivated individuals for employment!

Please APPLY ONLINE at https://www.rrmca.com/employment or in person at a location near you.*
Local Drivers:
Not Licensed? No Problem - We will Train! No experience necessary, PAID TRAINING, full benefits, holiday pay & 401K.
Must be at least 23 years of age & Ready to work days or nights
All applications MUST be submitted with an K4 ( DMV printout form) that is current within 30 days. (ONLINE VERSION NOT ACCEPTED)
Work Remotely

No
Job Type: Full-time

Pay: $60,000.00 - $130,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Trucking Driver Type:

Company driver
Trucking Route:

Local
Work Location: Remote"
6,Yard Jockey,"Yard Jockey
Fairburn, GA


Apply on employer site
We help you make it! US FOODS® is one of the largest food distributors with a culture and history of promotion from within, excellent training programs, and a continuous improvement focus.

We are looking for a Yard Jockey who relishes the chance to push their potential, grow and reap the rewards of joining the US FOODS® family.


US FOODS® has a lot to offer:

US FOODS® is the company built on YOU Matter, where your hard work is rewarded

We are committed to compensation, and benefits that respect, and reward our employees for their dedication and hard work

Paid Training AND Paid Overtime

Service recognition and employee rewards

Excellent Leadership


BENEFITS START DAY ONE: medical, dental, vision, 401(k) Plan, and Employee Stock Purchase Plan (ESPP) life insurance and paid parental leave. Check out our Benefits by clicking on the link Health Plan Identifier (benefitspricing.com)


Main Ingredients of the Job!

As a US FOODS® Yard Jockey you will be critical to the US FOODS® team. You will be responsible for moving trailers to and from dock doors based on instructions from supervisors or the shipping office while following all regulatory and company safety standards, policies, and procedures. Always ensure cleanliness and adequate fueling of trailers. Our Yard Jockey associates start at $22.96 per hour.

Schedule: Sunday- Thursday- 6pm until finish, with the flexibility to support other switching duties as needed

Communicate with Dispatcher/Router for truck/trailer and door assignments.

Stage shuttle trailers nightly for shuttle drivers

Set up trailers for backhaul with tractor and empty pallets.

Keep assigned equipment coupled

Load, unload, or merge loads between environments

Place backhauls in the correct door to be unloaded by the warehouse

Make sure all equipment is paired and ready for the next day's deliveries

Work with mechanics nightly


Great Yard Jockeys are crucial to the US FOODS® team and one of the important faces of our organization. Our Yard Jockeys strive for integrity and reliability while building trusting relationships with team members.


What you bring to the table

Must be at least 21 years of age

Must have a valid driver's license issued by the state of residence

Minimum of six months non-CDL commercial driving experience preferred

Ability to operate manual transmission preferred; may be required in specific locations

Must be able to pass DOT physical.

Must be at least 21 years of age


Your efforts as a Yard Jockey are the foundation that defines US FOODS® success based on our pillars of cultural beliefs, work ethic, collaborative spirit, and service.

BECOME A US FOODS® TEAM MEMBER!


Stay updated by following US Foods on any of our social media platforms at the bottom of the page!

Compensation depends on relevant experience and/or education, specific skills, function, geographic location, and other factors as applicable by law. The expected base rate for this role is between $26 and $31.

Benefits for this role may include health insurance, pre-tax spending accounts, retirement benefits, paid time off, short-term and long-term disability, employee stock purchase plan, and life insurance. To review available benefits, please click here: https://www.usfoods.com/careers/benefits.html."
7,"Serve, Smile, Succeed: Be a Part of our Rail Trail Family!","Milford, MA


Easy Apply
URGENTLY HIRING SERVERS at our MILFORD & HUDSON locations!

Join the Revolution at The Rail Trail Flatbread Co, where innovation meets flavor in our scratch kitchen! We're not just an Flatbread company; we're a oven of dreams, constantly pushing the boundaries of THE FIRE .

Are you ready to be a part of something extraordinary? We're currently seeking passionate individuals to join our team as Servers.

As a Server, you'll be the face of our establishment, creating memorable experiences for our guests. Your responsibilities will include enthusiastically greeting guests, providing menu recommendations, and ensure an unforgettable guest experience. In return, you'll enjoy the opportunity to work with a fantastic team, learn about the flatbread movement, and receive a 25% discount at The Rail Trail and our sister companies.

Here's the fire on what we offer:

Tip game STRONG, $30-$50/hour extra to your pocket weekly
Flexible scheduling, including weekends and holidays
A trendy food scene, family-friendly vibes, and an unbeatable atmosphere
Opportunities for growth and advancement in our Elite Restaurant Group
If you're ready to join a local powerhouse, bring vibrancy to guest experiences, and drive results with creativity and curiosity, apply now and gear up to serve the fire #welivebythefire!

REQUIREMENTS

Although delicious wood fired flatbread pizza is the champion on our menu it's just the beginning - we are a family friendly restaurant offering unique spins on new American comfort food classics like burgers, poutine, tacos and mac and cheese to name a few. Some of our most popular items were developed by thinking about the food we crave and the places we've been. We believe food should be fun and approachable for everyone and never, ever too serious."
8,Online Checkout Specialist,"Cairo


Easy Apply
InDrive is an international ride-hailing service headquartered in Mountain View, CA. Our user base exceeds 200M users in more than 700+ cities in 47 countries. Right now our application is one of the top-3 ride-hailing and taxi apps worldwide by downloads.

Right now we’re looking for a professional who will join our Drivers verification department!

This position is based in Cairo,Egypt .

Please notice that CVs in English will be considered primarily.

What you will do:

Review and verify driver documents
Enter and maintain accurate and up-to-date records of drivers documents
Confirm the identity of individuals by cross-checking provided information with reliable sources, databases, or records
Maintain a high level of accuracy in the verification process to minimize errors and discrepancies
What we expect from you:

PC knowledge at the confident user level
Google products knowledge: Google Sheets, Google Docs)
Grammatically correct in written and verbal
Competent verbal and written communication.
Native language speaker (depending on the supported country)
Patience
Attention to details
What we offer:

5/2 shift work/rotation (morning, daytime. night time)
Work remotely
9460 EGP gross/month
Job Types: Temporary, Contract
Contract length: 3 months

Pay: From E?9,500.00 per month"
9,Fluent English Speaker (C1 Level) – Customer Support Agent,"Fluent English Speaker (C1 Level) – Customer Support Agent
Cairo


Easy Apply
We’re Hiring!

Are you looking for a great opportunity to kick-start your career? QuickfirmX is seeking Fluent English Speakers (C1 Level) to join the team! If you’re ready to start immediately and have excellent communication skills, we want to hear from you.

Who Can Apply?

Graduates & Gap Year Students
Individuals who are ready to start immediately
Job Details:

Location: Maadi (Shifting to Sheikh Zayed in April)
Salary: 15K net
Tasks: Handling customer chats and emails (Voice support coming soon)
Shifts: Rotational shifts
Days Off: 2 days per week
Benefits: Medical & social insurance
No transportation allowance
Travel Account: Preferably living in Faisal, Zayed, October, or Haram to be close to the new location.
Interested? Send your Resume now and take the first step toward a big future with QuickfirmX!

Job Type: Full-time

Pay: E?15,000.00 per month
"
